date,0x20240830,,,,,,,,,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,bpp,bpp,epp/epp-plus,epp/epp-plus,airvooc,airvooc,airsvooc,airsvooc,end
crc32,0x8955bdf5,NA,0x99db4848,NA,0x4a7ff9c4,NA,0xc760507b,NA,0x81b34f,NA,0x8b38955e,NA,0x6d54bf87,NA,0x917abdfe,NA,0x26645874,NA,0x26645874,NA,0x85f9e64c,NA,end
44,3756,500,967,1965,360,4995,261,8755,768,2433,365,5737,252,7509,2054,916,844,2252,844,2252,249,6892,end
45,3728,498,968,1971,401,4997,200,8761,768,2433,304,5680,263,7440,1947,915,807,2257,807,2257,309,6829,end
46,3809,498,1018,1974,354,4965,210,8771,759,2427,352,5823,302,7381,2071,882,834,2255,834,2255,249,6797,end
47,3844,496,967,1973,398,4986,250,8764,769,2426,304,5777,250,7486,2002,911,854,2247,854,2247,298,6776,end
48,3792,496,967,1978,361,4991,210,8762,818,2423,355,5726,262,7427,2006,912,847,2249,847,2249,298,6756,end
49,3828,494,978,1981,352,4994,200,8759,768,2419,304,5670,251,7533,1964,909,800,2245,800,2245,259,6779,end
50,3789,494,969,1982,352,4997,251,8757,764,2414,364,5764,252,7453,2031,903,845,2242,845,2242,296,6827,end
51,3845,492,968,1985,409,4998,210,8767,800,2411,355,5707,252,7390,2051,908,850,2227,850,2227,249,6888,end
52,3669,494,969,1984,352,4991,200,8766,768,2410,301,5776,261,7501,1990,907,854,2232,854,2232,308,6878,end
53,3897,490,968,1984,413,4998,210,8758,767,2408,354,5745,252,7436,2050,885,795,2218,795,2218,249,6796,end
54,3856,489,978,1985,351,4997,251,8756,767,2404,350,5779,252,7365,2003,900,891,2223,891,2223,298,6733,end
55,3894,488,1019,1984,362,4997,200,8758,757,2401,304,5748,302,7482,2043,900,842,2206,842,2206,306,6797,end
56,3841,489,919,1982,402,5001,234,8756,819,2396,359,5775,262,7378,2040,883,806,2215,806,2215,249,6854,end
57,3943,488,968,1983,361,4992,250,7593,768,2391,304,5761,251,7491,2098,897,840,2208,840,2208,249,6824,end
58,3893,488,968,1980,352,4994,261,7590,819,2386,347,5838,252,7401,1999,899,855,2205,855,2205,299,6775,end
59,3887,485,1018,1977,413,4979,240,7584,761,2379,304,5823,250,7484,2012,888,843,2202,843,2202,308,6739,end
60,3926,485,978,1972,353,4983,260,7184,808,2373,354,5743,262,7423,2081,888,902,2185,902,2185,249,6737,end
61,3947,481,969,1969,359,5030,293,7172,767,2370,352,5765,251,7565,2001,891,842,2187,842,2187,278,6720,end
62,3939,481,968,1967,395,4988,261,6793,818,2363,303,5730,252,7481,2054,889,848,2179,848,2179,357,5960,end
63,3942,480,969,1963,352,5010,311,6797,768,2357,361,5771,295,7394,2080,884,854,2180,854,2180,297,5853,end
64,3968,481,1019,1961,362,4995,250,6797,809,2353,354,5729,263,7160,2111,880,884,2165,884,2165,346,5816,end
65,3943,478,1009,1959,403,4982,311,6798,776,2348,302,5773,253,7155,2056,882,856,2165,856,2165,308,5833,end
66,3986,479,933,1957,361,5005,250,6798,768,2342,354,5719,252,7126,2063,876,895,2151,895,2151,348,5780,end
67,3892,476,1118,1766,352,4986,311,6803,817,2339,303,5763,311,7037,2083,880,857,2154,857,2154,297,5784,end
68,3892,476,1067,1766,412,4992,250,6805,768,2335,347,5830,252,6921,2105,877,894,2143,894,2143,358,5826,end
69,3999,475,1129,1765,352,4988,311,6817,808,2331,362,5815,302,6836,2117,872,857,2148,857,2148,299,5781,end
70,4012,474,1068,1765,362,4999,250,6820,819,2325,304,5707,301,6732,2032,871,893,2135,893,2135,348,5755,end
71,3995,473,1068,1767,402,4995,311,6816,815,2320,353,5774,262,6614,2087,867,856,2132,856,2132,308,5785,end
72,4033,472,1129,1764,362,4975,250,6818,819,2314,301,5793,301,6710,2161,837,890,2134,890,2134,348,5842,end
73,4055,471,1068,1764,352,4996,311,6819,818,2308,351,5758,301,6604,2138,865,855,2123,855,2123,298,5768,end
74,4002,469,1119,1763,362,4992,250,6817,808,2303,352,5777,311,6688,2096,862,929,2119,929,2119,357,5770,end
75,4078,469,1077,1767,403,4978,309,6817,820,2297,310,5782,249,6677,2142,851,855,2110,855,2110,299,5741,end
76,4050,468,1101,1764,352,4982,269,6596,819,2295,353,5764,301,6656,2125,861,895,2114,895,2114,333,5727,end
77,3979,466,1068,1758,409,4979,361,5773,768,2286,302,5832,300,6681,2139,855,896,2101,896,2101,395,5005,end
78,3970,465,1129,1758,352,4959,308,5775,819,2281,353,5771,310,6681,2139,843,883,2098,883,2098,393,4856,end
79,4034,462,1067,1759,362,4936,301,5776,860,2277,353,5739,303,6182,2157,853,897,2091,897,2091,408,4711,end
80,4195,460,1120,1754,401,4912,361,5787,819,2272,301,5780,303,6180,2128,852,902,2092,902,2092,398,4741,end
81,4055,460,1078,1754,359,4912,311,5786,818,2268,353,5742,313,6183,2106,850,942,2077,942,2077,405,4774,end
